SchoolN,State Name,State Abbr,School Name,Agency Name,School Type,Locale,Total Students All Grades (Excludes AE),Asian or Asian/Pacific Islander Students,Hispanic Students,Black or African American Students,White Students,Nat. Hawaiian or Other Pacific Isl. Students,Two or More Races Students,Total Race/Ethnicity,American Indian/Alaska Native Students,Pupil/Teacher Ratio,Full-Time Equivalent Teachers
RITCHIE PARK ELEMENTARY,Maryland,MD ,Ritchie Park Elementary,Montgomery County Public Schools,1-Regular school,13-City: Small,432,75,58,71,196,–,31,432,1,16.00,27.00
RIVER HILL HIGH,Maryland,MD ,River Hill High,Howard County Public Schools,1-Regular school,13-City: Small,1382,434,89,149,619,–,91,1382,–,16.73,82.60
RIVERDALE ELEMENTARY,Maryland,MD ,Riverdale Elementary,Prince George's County Public Schools,1-Regular school,21-Suburb: Large,684,21,581,53,23,–,6,684,–,13.00,52.60
RIVERSIDE ELEMENTARY,Maryland,MD ,Riverside Elementary,Harford County Public Schools,1-Regular school,22-Suburb: Mid-size,483,8,56,165,206,4,41,483,3,16.30,29.63
RIVERVIEW ELEMENTARY,Maryland,MD ,Riverview Elementary,Baltimore County Public Schools,1-Regular school,21-Suburb: Large,553,9,152,190,147,–,52,553,3,14.75,37.50
RIVIERA BEACH ELEMENTARY,Maryland,MD ,Riviera Beach Elementary,Anne Arundel County Public Schools,1-Regular school,21-Suburb: Large,304,8,12,20,243,–,20,304,1,13.57,22.40
ROBERT D. STETHEM EDUCATIONAL CENTER,Maryland,MD ,Robert D. Stethem Educational Center,Charles County Public Schools,4-Alternative Education School,41-Rural: Fringe,92,–,8,50,28,1,5,92,–,3.41,27.00
ROBERT FROST ELEMENTARY,Maryland,MD ,Robert Frost Elementary,Prince George's County Public Schools,1-Regular school,21-Suburb: Large,288,10,150,115,12,–,1,288,–,11.06,26.04
ROBERT FROST MIDDLE SCHOOL,Maryland,MD ,Robert Frost Middle School,Montgomery County Public Schools,1-Regular school,13-City: Small,1074,402,92,105,423,–,47,1074,5,18.02,59.60
ROBERT GODDARD MONTESSORI,Maryland,MD ,Robert Goddard Montessori,Prince George's County Public Schools,1-Regular school,21-Suburb: Large,486,23,32,329,89,2,8,486,3,16.47,29.50
ROBERT MOTON ELEMENTARY,Maryland,MD ,Robert Moton Elementary,Carroll County Public Schools,1-Regular school,41-Rural: Fringe,403,4,71,36,256,1,34,403,1,8.17,49.30
ROBERT R. GRAY ELEMENTARY,Maryland,MD ,Robert R. Gray Elementary,Prince George's County Public Schools,1-Regular school,21-Suburb: Large,447,9,116,314,4,1,–,447,3,14.21,31.46
ROBERT W. COLEMAN ELEMENTARY,Maryland,MD ,Robert W. Coleman Elementary,Baltimore City Public Schools,1-Regular school,11-City: Large,299,–,8,290,–,–,1,299,–,16.16,18.50
ROBERTO W. CLEMENTE MIDDLE,Maryland,MD ,Roberto W. Clemente Middle,Montgomery County Public Schools,1-Regular school,21-Suburb: Large,1301,308,400,339,180,–,73,1301,1,15.98,81.40
ROCK CREEK,Maryland,MD ,Rock Creek School,Frederick County Public Schools,2-Special education school,13-City: Small,75,1,12,10,47,–,5,75,–,4.34,17.30
ROCK CREEK FOREST ELEMENTARY,Maryland,MD ,Rock Creek Forest Elementary,Montgomery County Public Schools,1-Regular school,13-City: Small,739,59,238,130,266,–,43,739,3,14.90,49.60
ROCK CREEK VALLEY ELEMENTARY,Maryland,MD ,Rock Creek Valley Elementary,Montgomery County Public Schools,1-Regular school,21-Suburb: Large,441,68,167,45,127,–,33,441,1,11.79,37.40
ROCK HALL ELEMENTARY,Maryland,MD ,Rock Hall Elementary,Kent County Public Schools,1-Regular school,42-Rural: Distant,228,1,2,52,150,–,23,228,–,10.86,21.00
ROCK TERRACE SCHOOL,Maryland,MD ,Rock Terrace School,Montgomery County Public Schools,2-Special education school,13-City: Small,97,15,26,24,28,–,4,97,–,4.33,22.40
ROCK VIEW ELEMENTARY,Maryland,MD ,Rock View Elementary,Montgomery County Public Schools,1-Regular school,21-Suburb: Large,608,68,270,95,141,1,30,608,3,12.48,48.70
ROCKBURN ELEMENTARY,Maryland,MD ,Rockburn Elementary,Howard County Public Schools,1-Regular school,21-Suburb: Large,629,121,38,92,328,–,44,629,6,13.38,47.00
ROCKLAND WOODS ELEMENTARY,Maryland,MD ,Rockland Woods Elementary,Washingtion County Public Schools,1-Regular school,41-Rural: Fringe,581,24,84,91,329,2,50,581,1,16.60,35.00
ROCKLEDGE ELEMENTARY,Maryland,MD ,Rockledge Elementary,Prince George's County Public Schools,1-Regular school,21-Suburb: Large,341,14,70,188,52,3,13,341,1,15.50,22.00
ROCKVILLE HIGH,Maryland,MD ,Rockville High,Montgomery County Public Schools,1-Regular school,13-City: Small,1450,157,595,199,442,4,48,1450,5,14.89,97.40
ROCKY HILL MIDDLE,Maryland,MD ,Rocky Hill Middle,Montgomery County Public Schools,1-Regular school,21-Suburb: Large,844,245,151,205,183,1,58,844,1,15.92,53.00
RODGERS FORGE ELEMENTARY,Maryland,MD ,Rodgers Forge Elementary,Baltimore County Public Schools,1-Regular school,13-City: Small,446,36,20,7,349,–,34,446,–,16.83,26.50
ROGERS HEIGHTS ELEMENTARY,Maryland,MD ,Rogers Heights Elementary,Prince George's County Public Schools,1-Regular school,21-Suburb: Large,788,15,657,101,11,1,3,788,–,15.65,50.36
ROLAND PARK ELEMENTARY/MIDDLE,Maryland,MD ,Roland Park Elementary/Middle,Baltimore City Public Schools,1-Regular school,11-City: Large,1449,146,78,552,602,5,59,1449,7,20.04,72.30
ROLLING KNOLLS ELEMENTARY,Maryland,MD ,Rolling Knolls Elementary,Anne Arundel County Public Schools,1-Regular school,21-Suburb: Large,425,17,102,60,223,1,21,425,1,13.28,32.00
ROLLING TERRACE ELEMENTARY,Maryland,MD ,Rolling Terrace Elementary,Montgomery County Public Schools,1-Regular school,13-City: Small,798,23,568,132,63,–,12,798,–,12.05,66.20
ROOTS AND BRANCHES SCHOOL,Maryland,MD ,Roots and Branches School,Baltimore City Public Schools,1-Regular school,11-City: Large,139,–,–,138,1,–,–,139,–,19.86,7.00
ROSA L. PARKS ELEMENTARY,Maryland,MD ,Rosa L. Parks Elementary,Prince George's County Public Schools,1-Regular school,21-Suburb: Large,658,–,568,72,12,3,3,658,–,12.78,51.50
ROSA M. PARKS MIDDLE,Maryland,MD ,Rosa M. Parks Middle,Montgomery County Public Schools,1-Regular school,21-Suburb: Large,826,80,112,102,480,–,52,826,–,15.88,52.00
ROSARYVILLE ELEMENTARY,Maryland,MD ,Rosaryville Elementary,Prince George's County Public Schools,1-Regular school,21-Suburb: Large,413,4,34,344,19,2,8,413,2,11.35,36.40
ROSCOE R NIX ELEMENTARY,Maryland,MD ,Roscoe R Nix Elementary,Montgomery County Public Schools,1-Regular school,13-City: Small,506,46,243,184,20,3,8,506,2,11.74,43.10
ROSE VALLEY ELEMENTARY,Maryland,MD ,Rose Valley Elementary,Prince George's County Public Schools,1-Regular school,21-Suburb: Large,333,9,126,187,2,3,4,333,2,13.43,24.80
ROSEDALE CENTER,Maryland,MD ,Rosedale Center,Baltimore County Public Schools,4-Alternative Education School,21-Suburb: Large,90,1,2,65,13,–,9,90,–,2.90,31.00
ROSEMARY HILLS ELEMENTARY,Maryland,MD ,Rosemary Hills Elementary,Montgomery County Public Schools,1-Regular school,13-City: Small,559,25,74,139,288,–,31,559,2,14.75,37.90
ROSEMONT ELEMENTARY,Maryland,MD ,Rosemont Elementary,Montgomery County Public Schools,1-Regular school,13-City: Small,628,60,298,173,58,–,39,628,–,12.79,49.10
ROSEMONT ELEMENTARY/MIDDLE,Maryland,MD ,Rosemont Elementary/Middle,Baltimore City Public Schools,1-Regular school,11-City: Large,338,1,8,327,–,1,1,338,–,16.10,21.00
ROUTE 40 ELEMENTARY,Maryland,MD ,Route 40 Elementary,Garrett County Public Schools,1-Regular school,41-Rural: Fringe,129,–,1,–,125,–,3,129,–,15.03,8.58
ROYE-WILLIAMS ELEMENTARY,Maryland,MD ,Roye-Williams Elementary,Harford County Public Schools,1-Regular school,41-Rural: Fringe,521,10,79,140,220,2,69,521,1,14.41,36.15
RUNNING BROOK ELEMENTARY,Maryland,MD ,Running Brook Elementary,Howard County Public Schools,1-Regular school,13-City: Small,500,24,63,285,90,–,37,500,1,11.11,45.00
RUNNYMEDE ELEMENTARY,Maryland,MD ,Runnymede Elementary,Carroll County Public Schools,1-Regular school,41-Rural: Fringe,618,9,16,22,543,2,23,618,3,14.41,42.90
RUTH ANN MONROE PRIMARY,Maryland,MD ,Ruth Ann Monroe Primary,Washingtion County Public Schools,1-Regular school,22-Suburb: Mid-size,567,20,76,161,202,–,106,567,2,14.96,37.90
RUTH PARKER EASON SCHOOL,Maryland,MD ,Ruth Parker Eason School,Anne Arundel County Public Schools,2-Special education school,21-Suburb: Large,133,5,19,51,53,–,4,133,1,5.76,23.10
S. CHRISTA MCAULIFFE ELEMENTARY,MARYLAND,MD ,S. Christa McAuliffe Elementary,Montgomery County Public Schools,1-Regular school,21-Suburb: Large,567,41,186,204,94,1,39,567,2,14.65,38.70
SABILLASVILLE ENVIRONMENTAL SCHOOL,Maryland,MD ,Sabillasville Elementary,Frederick County Public Schools,1-Regular school,41-Rural: Fringe,99,–,5,1,92,–,1,99,–,13.75,7.20
SALEM AVENUE ELEMENTARY,Maryland,MD ,Salem Avenue Elementary,Washingtion County Public Schools,1-Regular school,13-City: Small,726,2,100,161,311,1,151,726,–,16.88,43.00
SALISBURY MIDDLE,Maryland,MD ,Salisbury Middle,Wicomico County Public Schools,1-Regular school,23-Suburb: Small,760,35,47,405,225,2,46,760,–,9.16,83.00
SAMUEL CHASE ELEMENTARY,Maryland,MD ,Samuel Chase Elementary,Prince George's County Public Schools,1-Regular school,21-Suburb: Large,331,4,66,247,7,–,7,331,–,12.17,27.20
SAMUEL OGLE MIDDLE,Maryland,MD ,Samuel Ogle Middle,Prince George's County Public Schools,1-Regular school,21-Suburb: Large,879,57,143,553,103,1,17,879,5,16.74,52.50
SAMUEL P. MASSIE ACADEMY,Maryland,MD ,Samuel P. Massie Academy,Prince George's County Public Schools,1-Regular school,21-Suburb: Large,637,5,33,595,–,–,2,637,2,15.54,41.00
SANDALWOOD ELEMENTARY,Maryland,MD ,Sandalwood Elementary,Baltimore County Public Schools,1-Regular school,21-Suburb: Large,533,2,81,363,51,–,35,533,1,17.77,30.00
SANDTOWN-WINCHESTER ACHIEVEMENT ACADEMY,Maryland,MD ,William Pinderhughes Elementary/Middle,Baltimore City Public Schools,1-Regular school,11-City: Large,232,1,6,222,1,–,–,232,2,15.47,15.00
SANDY HILL ELEMENTARY,Maryland,MD ,Sandy Hill Elementary,Dorchester County Public Schools,1-Regular school,32-Town: Distant,410,11,45,244,79,–,31,410,–,11.71,35.00
SANDY PLAINS ELEMENTARY,Maryland,MD ,Sandy Plains Elementary,Baltimore County Public Schools,1-Regular school,21-Suburb: Large,566,14,62,131,300,–,52,566,7,14.70,38.50
SANDYMOUNT ELEMENTARY,Maryland,MD ,Sandymount Elementary,Carroll County Public Schools,1-Regular school,23-Suburb: Small,459,7,38,24,382,2,6,459,–,14.48,31.70
SARAH M. ROACH ELEMENTARY,Maryland,MD ,Sarah M. Roach Elementary,Baltimore City Public Schools,1-Regular school,11-City: Large,221,–,8,206,6,–,–,221,1,20.09,11.00
SARGENT SHRIVER ELEMENTARY,Maryland,MD ,Sargent Shriver Elementary,Montgomery County Public Schools,1-Regular school,21-Suburb: Large,775,48,607,78,20,–,17,775,5,12.20,63.50
SCOTCHTOWN HILLS ELEMENTARY,Maryland,MD ,Scotchtown Hills Elementary,Prince George's County Public Schools,1-Regular school,21-Suburb: Large,706,21,280,332,47,1,20,706,5,15.87,44.50
SCOTTS BRANCH ELEMENTARY,Maryland,MD ,Scotts Branch Elementary,Baltimore County Public Schools,1-Regular school,21-Suburb: Large,578,5,30,521,10,4,6,578,2,17.25,33.50
SEABROOK ELEMENTARY,Maryland,MD ,Seabrook Elementary,Prince George's County Public Schools,1-Regular school,21-Suburb: Large,338,15,174,134,11,1,2,338,1,14.51,23.30
SEAT PLEASANT ELEMENTARY,Maryland,MD ,Seat Pleasant Elementary,Prince George's County Public Schools,1-Regular school,21-Suburb: Large,367,3,74,280,5,–,4,367,1,10.03,36.60
SENECA ELEMENTARY,Maryland,MD ,Seneca Elementary,Baltimore County Public Schools,1-Regular school,21-Suburb: Large,457,12,31,162,215,1,34,457,2,16.68,27.40
SENECA VALLEY HIGH,Maryland,MD ,Seneca Valley High,Montgomery County Public Schools,1-Regular school,21-Suburb: Large,1181,129,423,409,171,–,48,1181,1,14.09,83.80
SEQUOYAH ELEMENTARY,Maryland,MD ,Sequoyah Elementary,Montgomery County Public Schools,1-Regular school,41-Rural: Fringe,389,42,196,44,83,–,23,389,1,12.39,31.40
SEVEN LOCKS ELEMENTARY,Maryland,MD ,Seven Locks Elementary,Montgomery County Public Schools,1-Regular school,21-Suburb: Large,429,104,53,35,208,–,29,429,–,17.44,24.60
SEVEN OAKS ELEMENTARY,Maryland,MD ,Seven Oaks Elementary,Anne Arundel County Public Schools,1-Regular school,21-Suburb: Large,612,14,80,386,75,1,55,612,1,15.77,38.80
SEVEN OAKS ELEMENTARY,Maryland,MD ,Seven Oaks Elementary,Baltimore County Public Schools,1-Regular school,21-Suburb: Large,496,54,21,119,259,–,40,496,3,16.00,31.00
SEVENTH DISTRICT ELEMENTARY,Maryland,MD ,Seventh District Elementary,Baltimore County Public Schools,1-Regular school,42-Rural: Distant,393,6,13,9,352,–,13,393,–,16.38,24.00
SEVERN ELEMENTARY,Maryland,MD ,Severn Elementary,Anne Arundel County Public Schools,1-Regular school,21-Suburb: Large,504,28,65,245,119,1,41,504,5,15.32,32.90
SEVERN RIVER MIDDLE,Maryland,MD ,Severn River Middle,Anne Arundel County Public Schools,1-Regular school,21-Suburb: Large,749,21,83,50,550,1,42,749,2,15.80,47.40
SEVERNA PARK ELEMENTARY,Maryland,MD ,Severna Park Elementary,Anne Arundel County Public Schools,1-Regular school,21-Suburb: Large,429,18,16,4,372,–,17,429,2,16.69,25.70
SEVERNA PARK HIGH,Maryland,MD ,Severna Park High,Anne Arundel County Public Schools,1-Regular school,21-Suburb: Large,1865,74,96,79,1541,5,69,1865,1,18.88,98.77
SEVERNA PARK MIDDLE,Maryland,MD ,Severna Park Middle,Anne Arundel County Public Schools,1-Regular school,21-Suburb: Large,1469,62,84,43,1202,1,74,1469,3,16.66,88.20
SHADY GROVE MIDDLE,Maryland,MD ,Shady Grove Middle,Montgomery County Public Schools,1-Regular school,21-Suburb: Large,627,71,266,130,137,1,22,627,–,13.87,45.20
SHADY SIDE ELEMENTARY,Maryland,MD ,Shady Side Elementary,Anne Arundel County Public Schools,1-Regular school,31-Town: Fringe,449,5,11,44,374,2,13,449,–,14.67,30.60
SHADY SPRING ELEMENTARY,Maryland,MD ,Shady Spring Elementary,Baltimore County Public Schools,1-Regular school,21-Suburb: Large,612,36,123,384,42,1,18,612,8,17.19,35.60
SHARP-LEADENHALL ELEMENTARY/MIDDLE,Maryland,MD ,Sharp-Leadenhall Elementary,Baltimore City Public Schools,2-Special education school,11-City: Large,29,–,–,24,3,–,2,29,–,2.42,12.00
SHARPSBURG ELEMENTARY,Maryland,MD ,Sharpsburg Elementary,Washingtion County Public Schools,1-Regular school,31-Town: Fringe,251,–,9,4,234,–,2,251,2,16.73,15.00
SHERWOOD ELEMENTARY,Maryland,MD ,Sherwood Elementary,Montgomery County Public Schools,1-Regular school,21-Suburb: Large,527,51,91,112,222,–,49,527,2,15.41,34.20
SHERWOOD HIGH,Maryland,MD ,Sherwood High,Montgomery County Public Schools,1-Regular school,21-Suburb: Large,1973,225,357,317,973,3,98,1973,–,16.98,116.20
SHILOH MIDDLE,Maryland,MD ,Shiloh Middle,Carroll County Public Schools,1-Regular school,21-Suburb: Large,659,18,35,27,552,2,25,659,–,14.71,44.80
SHIPLEY'S CHOICE ELEMENTARY,Maryland,MD ,Shipley's Choice Elementary,Anne Arundel County Public Schools,1-Regular school,21-Suburb: Large,384,13,9,6,341,–,15,384,–,17.86,21.50
SHOWELL ELEMENTARY,Maryland,MD ,Showell Elementary,Worcester County Public Schools,1-Regular school,41-Rural: Fringe,533,12,27,18,438,–,35,533,3,13.49,39.50
SILVER CREEK MIDDLE,MARYLAND,MD ,Silver Creek Middle,Montgomery County Public Schools,1-Regular school,21-Suburb: Large,865,52,160,180,422,–,51,865,–,17.23,50.20
SILVER SPRING INTERNATIONAL MIDDLE,Maryland,MD ,Silver Spring International Middle,Montgomery County Public Schools,1-Regular school,13-City: Small,1125,61,467,239,303,–,50,1125,5,14.65,76.80
SINCLAIR LANE ELEMENTARY,Maryland,MD ,Sinclair Lane Elementary,Baltimore City Public Schools,1-Regular school,11-City: Large,303,3,2,295,3,–,–,303,–,16.38,18.50
SLIGO CREEK ELEMENTARY,Maryland,MD ,Sligo Creek Elementary,Montgomery County Public Schools,1-Regular school,13-City: Small,670,33,82,155,343,1,56,670,–,17.01,39.40
SLIGO MIDDLE,Maryland,MD ,Sligo Middle,Montgomery County Public Schools,1-Regular school,21-Suburb: Large,657,56,263,129,181,–,26,657,2,12.17,54.00
SMITHSBURG ELEMENTARY,Maryland,MD ,Smithsburg Elementary,Washingtion County Public Schools,1-Regular school,22-Suburb: Mid-size,361,1,22,10,304,–,23,361,1,16.95,21.30
SMITHSBURG HIGH,Maryland,MD ,Smithsburg High,Washingtion County Public Schools,1-Regular school,22-Suburb: Mid-size,757,15,42,39,625,2,33,757,1,16.94,44.70
SMITHSBURG MIDDLE,Maryland,MD ,Smithsburg Middle,Washingtion County Public Schools,1-Regular school,22-Suburb: Mid-size,629,9,41,48,494,1,35,629,1,15.45,40.72
SNOW HILL ELEMENTARY,Maryland,MD ,Snow Hill Elementary,Worcester County Public Schools,1-Regular school,42-Rural: Distant,378,5,14,91,238,–,27,378,3,12.39,30.50
SNOW HILL HIGH,Maryland,MD ,Snow Hill High,Worcester County Public Schools,1-Regular school,42-Rural: Distant,322,7,13,76,199,–,26,322,1,10.06,32.00
SNOW HILL MIDDLE,Maryland,MD ,Snow Hill Middle,Worcester County Public Schools,1-Regular school,42-Rural: Distant,416,3,16,107,250,–,38,416,2,10.27,40.50
SOLLERS POINT TECHNICAL HIGH SCHOOL,Maryland,MD ,Sollers Point/Southeastern Technical High,Baltimore County Public Schools,3-Career and Technical School,21-Suburb: Large,0,0,0,0,0,0,0,0,0,†,0.00
SOLLEY ELEMENTARY,Maryland,MD ,Solley Elementary,Anne Arundel County Public Schools,1-Regular school,21-Suburb: Large,800,27,94,98,511,2,64,800,4,16.91,47.30
SOMERSET 6/7 INTERMEDIATE SCHOOL,Maryland,MD ,Somerset 6/7 Intermediate School,Somerset County Public Schools,1-Regular school,42-Rural: Distant,403,7,46,196,134,2,18,403,–,11.19,36.00
SOMERSET COUNTY TECHNICAL HIGH SCHOOL,Maryland,MD ,J. M. Tawes Vocational Center,Somerset County Public Schools,3-Career and Technical School,42-Rural: Distant,0,0,0,0,0,0,0,0,0,0.00,9.00
SOMERSET ELEMENTARY,Maryland,MD ,Somerset Elementary,Montgomery County Public Schools,1-Regular school,21-Suburb: Large,587,66,78,37,356,4,46,587,–,16.92,34.70
SOUTH CARROLL HIGH,Maryland,MD ,South Carroll High,Carroll County Public Schools,1-Regular school,41-Rural: Fringe,1031,18,74,19,899,–,18,1031,3,17.78,58.00
SOUTH DORCHESTER SCHOOL,Maryland,MD ,South Dorchester School,Dorchester County Public Schools,1-Regular school,42-Rural: Distant,215,4,12,2,184,2,11,215,–,14.33,15.00
SOUTH HAGERSTOWN HIGH,Maryland,MD ,South Hagerstown High,Washingtion County Public Schools,1-Regular school,13-City: Small,1259,44,147,325,580,1,160,1259,2,15.94,79.00
SOUTH LAKE ELEMENTARY,Maryland,MD ,South Lake Elementary,Montgomery County Public Schools,1-Regular school,21-Suburb: Large,831,41,532,217,15,–,23,831,3,12.20,68.10
SOUTH PENN ELEMENTARY,Maryland,MD ,South Penn Elementary,Allegany County Public Schools,1-Regular school,13-City: Small,566,5,6,49,418,–,88,566,–,13.92,40.65
SOUTH RIVER HIGH,Maryland,MD ,South River High,Anne Arundel County Public Schools,1-Regular school,21-Suburb: Large,2179,90,196,125,1664,1,97,2179,6,17.31,125.87
SOUTH SHORE ELEMENTARY,Maryland,MD ,South Shore Elementary,Anne Arundel County Public Schools,1-Regular school,21-Suburb: Large,335,7,58,9,229,–,31,335,1,14.02,23.90
SOUTHAMPTON MIDDLE,Maryland,MD ,Southampton Middle,Harford County Public Schools,1-Regular school,22-Suburb: Mid-size,1219,58,65,66,965,1,60,1219,4,15.58,78.26
SOUTHERN GARRETT HIGH SCHOOL,Maryland,MD ,Southern Garrett High School,Garrett County Public Schools,1-Regular school,32-Town: Distant,715,5,15,1,677,–,17,715,–,14.44,49.50
SOUTHERN HIGH,Maryland,MD ,Southern High,Anne Arundel County Public Schools,1-Regular school,41-Rural: Fringe,997,10,94,80,757,1,54,997,1,16.09,61.97
SOUTHERN MIDDLE,Maryland,MD ,Southern Middle,Anne Arundel County Public Schools,1-Regular school,41-Rural: Fringe,757,2,120,59,521,–,54,757,1,14.60,51.84
SOUTHERN MIDDLE,Maryland,MD ,Southern Middle,Calvert County Public Schools,1-Regular school,41-Rural: Fringe,508,3,47,72,334,–,51,508,1,15.88,32.00
SOUTHERN MIDDLE SCHOOL,Maryland,MD ,Southern Middle School,Garrett County Public Schools,1-Regular school,32-Town: Distant,531,1,6,–,515,–,9,531,–,13.86,38.32
SOUTHGATE ELEMENTARY,Maryland,MD ,Southgate Elementary,Anne Arundel County Public Schools,1-Regular school,21-Suburb: Large,806,28,112,298,306,1,60,806,1,18.24,44.20
SOUTHWEST ACADEMY,Maryland,MD ,Southwest Academy,Baltimore County Public Schools,1-Regular school,21-Suburb: Large,820,84,99,582,30,–,20,820,5,14.77,55.50
SOUTHWEST BALTIMORE CHARTER SCHOOL,Maryland,MD ,Southwest Baltimore Charter School,Baltimore City Public Schools,1-Regular school,11-City: Large,427,2,15,368,32,1,8,427,1,14.47,29.50
SPARK M. MATSUNAGA ELEMENTARY,Maryland,MD ,Spark M. Matsunaga Elementary School,Montgomery County Public Schools,1-Regular school,21-Suburb: Large,728,293,113,139,137,–,42,728,4,17.05,42.70
SPARKS ELEMENTARY,Maryland,MD ,Sparks Elementary,Baltimore County Public Schools,1-Regular school,41-Rural: Fringe,486,33,12,11,413,–,15,486,2,15.68,31.00
SPARROWS POINT HIGH,Maryland,MD ,Sparrows Point High,Baltimore County Public Schools,1-Regular school,21-Suburb: Large,992,8,52,62,824,1,41,992,4,16.81,59.00
SPARROWS POINT MIDDLE,MARYLAND,MD ,Sparrows Point Middle,Baltimore County Public Schools,1-Regular school,21-Suburb: Large,627,7,29,59,502,1,28,627,1,16.50,38.00
SPRING GARDEN ELEMENTARY,Maryland,MD ,Spring Garden Elementary,Carroll County Public Schools,1-Regular school,21-Suburb: Large,434,4,34,20,360,–,16,434,–,13.48,32.20
SPRING RIDGE ELEMENTARY,Maryland,MD ,Spring Ridge Elementary,Frederick County Public Schools,1-Regular school,22-Suburb: Mid-size,475,19,69,79,258,–,48,475,2,13.64,34.82
SPRING RIDGE MIDDLE,Maryland,MD ,Spring Ridge Middle,St. Mary's County Public Schools,1-Regular school,41-Rural: Fringe,1026,39,122,359,405,6,91,1026,4,16.58,61.90
SPRINGBROOK HIGH,Maryland,MD ,Springbrook High,Montgomery County Public Schools,1-Regular school,21-Suburb: Large,1735,219,690,655,117,–,53,1735,1,14.50,119.63
SPRINGFIELD MIDDLE,Maryland,MD ,Springfield Middle,Washingtion County Public Schools,1-Regular school,22-Suburb: Mid-size,839,17,80,61,639,–,42,839,–,16.44,51.02
SPRINGHILL LAKE ELEMENTARY,Maryland,MD ,Springhill Lake Elementary,Prince George's County Public Schools,1-Regular school,21-Suburb: Large,873,9,463,368,23,3,4,873,3,11.89,73.40
ST LEONARD ELEMENTARY,Maryland,MD ,St Leonard Elementary,Calvert County Public Schools,1-Regular school,41-Rural: Fringe,527,5,59,91,321,–,50,527,1,14.40,36.60
ST. CHARLES HIGH SCHOOL,MARYLAND,MD ,St. Charles High School,Charles County Public Schools,1-Regular school,41-Rural: Fringe,1335,29,76,954,179,2,84,1335,11,15.52,86.00
ST. JOHNS LANE ELEMENTARY,Maryland,MD ,St. Johns Lane Elementary,Howard County Public Schools,1-Regular school,21-Suburb: Large,726,251,36,95,313,1,29,726,1,14.82,49.00
ST. MARY'S COUNTY EVENING HIGH,MARYLAND,MD ,St. Mary's County Evening High,St. Mary's County Public Schools,4-Alternative Education School,23-Suburb: Small,0,0,0,0,0,0,0,0,0,†,0.00
ST. MICHAELS ELEMENTARY,Maryland,MD ,St. Michaels Elementary,Talbot County Public Schools,1-Regular school,42-Rural: Distant,298,4,23,47,204,–,20,298,–,13.42,22.20
ST. MICHAELS MIDDLE/HIGH SCHOOL,Maryland,MD ,St. Michaels Middle/High School,Talbot County Public Schools,1-Regular school,42-Rural: Distant,420,3,24,45,328,–,20,420,–,11.63,36.10
STADIUM SCHOOL,Maryland,MD ,Stadium School,Baltimore City Public Schools,1-Regular school,11-City: Large,352,–,11,336,4,1,–,352,–,20.11,17.50
STEDWICK ELEMENTARY,Maryland,MD ,Stedwick Elementary,Montgomery County Public Schools,1-Regular school,21-Suburb: Large,583,34,268,174,69,–,35,583,3,12.90,45.20
STEMMERS RUN MIDDLE,Maryland,MD ,Stemmers Run Middle,Baltimore County Public Schools,1-Regular school,21-Suburb: Large,760,24,77,224,376,–,51,760,8,14.21,53.50
STEPHEN DECATUR HIGH,Maryland,MD ,Stephen Decatur High,Worcester County Public Schools,1-Regular school,32-Town: Distant,1363,24,90,151,1040,3,53,1363,2,15.85,86.00
STEPHEN DECATUR MIDDLE,Maryland,MD ,Stephen Decatur Middle,Worcester County Public Schools,1-Regular school,41-Rural: Fringe,650,12,56,69,481,–,32,650,–,12.19,53.34
STEPHEN DECATUR MIDDLE,Maryland,MD ,Stephen Decatur Middle,Prince George's County Public Schools,1-Regular school,21-Suburb: Large,710,10,140,538,16,1,4,710,1,14.49,49.00
STEPHEN KNOLLS SCHOOL,Maryland,MD ,Stephen Knolls School,Montgomery County Public Schools,2-Special education school,21-Suburb: Large,84,4,38,25,15,–,2,84,–,4.94,17.00
STEUART HILL ACADEMIC ACADEMY,Maryland,MD ,Steuart Hill Academic Academy,Baltimore City Public Schools,1-Regular school,11-City: Large,248,–,6,222,19,–,1,248,–,16.00,15.50
STEVENS FOREST ELEMENTARY,Maryland,MD ,Stevens Forest Elementary,Howard County Public Schools,1-Regular school,13-City: Small,415,25,135,157,58,1,38,415,1,10.12,41.00
STEVENSVILLE MIDDLE SCHOOL,Maryland,MD ,Stevensville Middle School,Queen Anne's County Public Schools,1-Regular school,21-Suburb: Large,530,9,28,43,426,3,19,530,2,15.14,35.00
STONE MILL ELEMENTARY,Maryland,MD ,Stone Mill Elementary,Montgomery County Public Schools,1-Regular school,21-Suburb: Large,613,312,40,73,154,–,33,613,1,17.37,35.30
STONEGATE ELEMENTARY,Maryland,MD ,Stonegate Elementary,Montgomery County Public Schools,1-Regular school,21-Suburb: Large,502,70,121,166,92,1,52,502,–,15.64,32.10
STONELEIGH ELEMENTARY,Maryland,MD ,Stoneleigh Elementary,Baltimore County Public Schools,1-Regular school,13-City: Small,797,64,59,71,554,1,48,797,–,16.78,47.50
STRATHMORE ELEMENTARY,Maryland,MD ,Strathmore Elementary,Montgomery County Public Schools,1-Regular school,21-Suburb: Large,448,24,202,172,32,–,17,448,1,13.45,33.30
